company,year,quarter,metric,sub-metric,value
TSMC,2014,3,rev_tech,0.11/0.13um,3
TSMC,2014,3,rev_tech,0.15/0.18um,13
TSMC,2014,3,rev_tech,0.25/0.35um,4
TSMC,2014,3,rev_tech,0.50um and above,1
TSMC,2014,4,rev_geo,NORAM,74
TSMC,2014,4,rev_geo,China,6
TSMC,2014,4,rev_geo,EMEA,6
TSMC,2014,4,rev_geo,ASIAPAC,9
TSMC,2014,4,rev_geo,Japan,5
TSMC,2014,4,rev_seg,Computer,9
TSMC,2014,4,rev_seg,Communication,65
TSMC,2014,4,rev_seg,Consumer,7
TSMC,2014,4,rev_seg,Industrial/Standard,19
TSMC,2014,4,rev_tech,20nm,21
TSMC,2014,4,rev_tech,28nm,30
TSMC,2014,4,rev_tech,40/45nm,13
TSMC,2014,4,rev_tech,65nm,11
TSMC,2014,4,rev_tech,90nm,6
TSMC,2014,4,rev_tech,0.11/0.13um,2
TSMC,2014,4,rev_tech,0.15/0.18um,12
TSMC,2014,4,rev_tech,0.25/0.35um,4
TSMC,2014,4,rev_tech,0.50um and above,1
TSMC,2015,1,rev_geo,NORAM,69
TSMC,2015,1,rev_geo,China,8
TSMC,2015,1,rev_geo,EMEA,6
TSMC,2015,1,rev_geo,ASIAPAC,12
TSMC,2015,1,rev_geo,Japan,5
TSMC,2015,1,rev_seg,Computer,8
TSMC,2015,1,rev_seg,Communication,60
TSMC,2015,1,rev_seg,Consumer,10
TSMC,2015,1,rev_seg,Industrial/Standard,22
TSMC,2015,1,rev_tech,20nm,16
TSMC,2015,1,rev_tech,28nm,30
TSMC,2015,1,rev_tech,40/45nm,15
TSMC,2015,1,rev_tech,65nm,12
TSMC,2015,1,rev_tech,90nm,7
TSMC,2015,1,rev_tech,0.11/0.13um,2
TSMC,2015,1,rev_tech,0.15/0.18um,13
TSMC,2015,1,rev_tech,0.25/0.35um,4
TSMC,2015,1,rev_tech,0.50um and above,1
TSMC,2016,2,rev_geo,NORAM,61
TSMC,2016,2,rev_geo,China,10
TSMC,2016,2,rev_geo,EMEA,6
TSMC,2016,2,rev_geo,ASIAPAC,18
TSMC,2016,2,rev_geo,Japan,5
TSMC,2016,2,rev_seg,Computer,8
TSMC,2016,2,rev_seg,Communication,59
TSMC,2016,2,rev_seg,Consumer,12
TSMC,2016,2,rev_seg,Industrial/Standard,21
TSMC,2016,2,rev_tech,16/20nm,23
TSMC,2016,2,rev_tech,28nm,28
TSMC,2016,2,rev_tech,40/45nm,15
TSMC,2016,2,rev_tech,65nm,12
TSMC,2016,2,rev_tech,90nm,5
TSMC,2016,2,rev_tech,0.11/0.13um,2
TSMC,2016,2,rev_tech,0.15/0.18um,11
TSMC,2016,2,rev_tech,0.25um and above,4
TSMC,2016,3,rev_geo,NORAM,68
TSMC,2016,3,rev_geo,China,6
TSMC,2016,3,rev_geo,EMEA,6
TSMC,2016,3,rev_geo,ASIAPAC,15
TSMC,2016,3,rev_geo,Japan,5
TSMC,2016,3,rev_seg,Computer,8
TSMC,2016,3,rev_seg,Communication,60
TSMC,2016,3,rev_seg,Consumer,11
TSMC,2016,3,rev_seg,Industrial/Standard,21
TSMC,2016,3,rev_tech,16/20nm,31
TSMC,2016,3,rev_tech,28nm,24
TSMC,2016,3,rev_tech,40/45nm,13
TSMC,2016,3,rev_tech,65nm,11
TSMC,2016,3,rev_tech,90nm,5
TSMC,2016,3,rev_tech,0.11/0.13um,3
TSMC,2016,3,rev_tech,0.15/0.18um,9
TSMC,2016,3,rev_tech,0.25um and above,4
TSMC,2016,4,rev_geo,NORAM,69
TSMC,2016,4,rev_geo,China,8
TSMC,2016,4,rev_geo,EMEA,6
TSMC,2016,4,rev_geo,ASIAPAC,11
TSMC,2016,4,rev_geo,Japan,6
TSMC,2016,4,rev_seg,Computer,8
TSMC,2016,4,rev_seg,Communication,66
TSMC,2016,4,rev_seg,Consumer,6
TSMC,2016,4,rev_seg,Industrial/Standard,20
TSMC,2016,4,rev_tech,16/20nm,33
TSMC,2016,4,rev_tech,28nm,24
TSMC,2016,4,rev_tech,40/45nm,12
TSMC,2016,4,rev_tech,65nm,11
TSMC,2016,4,rev_tech,90nm,5
TSMC,2016,4,rev_tech,0.11/0.13um,2
TSMC,2016,4,rev_tech,0.15/0.18um,10
TSMC,2016,4,rev_tech,0.25um and above,3
TSMC,2017,1,rev_geo,NORAM,63
TSMC,2017,1,rev_geo,China,11
TSMC,2017,1,rev_geo,EMEA,6
TSMC,2017,1,rev_geo,ASIAPAC,13
TSMC,2017,1,rev_geo,Japan,7
TSMC,2017,1,rev_seg,Computer,9
TSMC,2017,1,rev_seg,Communication,61
TSMC,2017,1,rev_seg,Consumer,9
TSMC,2017,1,rev_seg,Industrial/Standard,21
TSMC,2017,1,rev_tech,16/20nm,31
TSMC,2017,1,rev_tech,28nm,25
TSMC,2017,1,rev_tech,40/45nm,13
TSMC,2017,1,rev_tech,65nm,11
TSMC,2017,1,rev_tech,90nm,4
TSMC,2017,1,rev_tech,0.11/0.13um,2
TSMC,2017,1,rev_tech,0.15/0.18um,11
TSMC,2017,1,rev_tech,0.25um and above,3
TSMC,2017,2,rev_geo,NORAM,60
TSMC,2017,2,rev_geo,China,11
TSMC,2017,2,rev_geo,EMEA,7
TSMC,2017,2,rev_geo,ASIAPAC,14
TSMC,2017,2,rev_geo,Japan,8
TSMC,2017,2,rev_seg,Computer,8
TSMC,2017,2,rev_seg,Communication,58
TSMC,2017,2,rev_seg,Consumer,9
TSMC,2017,2,rev_seg,Industrial/Standard,25
TSMC,2017,2,rev_tech,10nm,1
TSMC,2017,2,rev_tech,16/20nm,26
TSMC,2017,2,rev_tech,28nm,27
TSMC,2017,2,rev_tech,40/45nm,13
TSMC,2017,2,rev_tech,65nm,10
TSMC,2017,2,rev_tech,90nm,5
TSMC,2017,2,rev_tech,0.11/0.13um,3
TSMC,2017,2,rev_tech,0.15/0.18um,11
TSMC,2017,2,rev_tech,0.25um and above,4
TSMC,2017,3,rev_geo,NORAM,64
TSMC,2017,3,rev_geo,China,11
TSMC,2017,3,rev_geo,EMEA,8
TSMC,2017,3,rev_geo,ASIAPAC,10
TSMC,2017,3,rev_geo,Japan,7
TSMC,2017,3,rev_seg,Computer,10
TSMC,2017,3,rev_seg,Communication,56
TSMC,2017,3,rev_seg,Consumer,9
TSMC,2017,3,rev_seg,Industrial/Standard,25
TSMC,2017,3,rev_tech,10nm,10
TSMC,2017,3,rev_tech,16/20nm,24
TSMC,2017,3,rev_tech,28nm,23
TSMC,2017,3,rev_tech,40/45nm,12
TSMC,2017,3,rev_tech,65nm,10
TSMC,2017,3,rev_tech,90nm,5
TSMC,2017,3,rev_tech,0.11/0.13um,3
TSMC,2017,3,rev_tech,0.15/0.18um,10
TSMC,2017,3,rev_tech,0.25um and above,3
TSMC,2017,4,rev_geo,NORAM,67
TSMC,2017,4,rev_geo,China,13
TSMC,2017,4,rev_geo,EMEA,7
TSMC,2017,4,rev_geo,ASIAPAC,7
TSMC,2017,4,rev_geo,Japan,6
TSMC,2017,4,rev_seg,Computer,11
TSMC,2017,4,rev_seg,Communication,62
TSMC,2017,4,rev_seg,Consumer,5
TSMC,2017,4,rev_seg,Industrial/Standard,22
TSMC,2017,4,rev_tech,10nm,25
TSMC,2017,4,rev_tech,16/20nm,20
TSMC,2017,4,rev_tech,28nm,18
TSMC,2017,4,rev_tech,40/45nm,10
TSMC,2017,4,rev_tech,65nm,9
TSMC,2017,4,rev_tech,90nm,4
TSMC,2017,4,rev_tech,0.11/0.13um,2
TSMC,2017,4,rev_tech,0.15/0.18um,9
TSMC,2017,4,rev_tech,0.25um and above,3
TSMC,2018,1,rev_geo,NORAM,59
TSMC,2018,1,rev_geo,China,19
TSMC,2018,1,rev_geo,EMEA,7
TSMC,2018,1,rev_geo,ASIAPAC,8
TSMC,2018,1,rev_geo,Japan,7
TSMC,2018,1,rev_seg,Computer,15
TSMC,2018,1,rev_seg,Communication,55
TSMC,2018,1,rev_seg,Consumer,7
TSMC,2018,1,rev_seg,Industrial/Standard,23
TSMC,2018,1,rev_tech,10nm,19
TSMC,2018,1,rev_tech,16/20nm,22
TSMC,2018,1,rev_tech,28nm,20
TSMC,2018,1,rev_tech,40/45nm,11
TSMC,2018,1,rev_tech,65nm,9
TSMC,2018,1,rev_tech,90nm,5
TSMC,2018,1,rev_tech,0.11/0.13um,2
TSMC,2018,1,rev_tech,0.15/0.18um,9
TSMC,2018,1,rev_tech,0.25um and above,3
TSMC,2018,2,rev_geo,NORAM,53
TSMC,2018,2,rev_geo,China,23
TSMC,2018,2,rev_geo,EMEA,7
TSMC,2018,2,rev_geo,ASIAPAC,10
TSMC,2018,2,rev_geo,Japan,7
TSMC,2018,2,rev_seg,Computer,21
TSMC,2018,2,rev_seg,Communication,48
TSMC,2018,2,rev_seg,Consumer,8
TSMC,2018,2,rev_seg,Industrial/Standard,23
TSMC,2018,2,rev_tech,10nm,13
TSMC,2018,2,rev_tech,16/20nm,25
TSMC,2018,2,rev_tech,28nm,23
TSMC,2018,2,rev_tech,40/45nm,11
TSMC,2018,2,rev_tech,65nm,9
TSMC,2018,2,rev_tech,90nm,5
TSMC,2018,2,rev_tech,0.11/0.13um,2
TSMC,2018,2,rev_tech,0.15/0.18um,9
TSMC,2018,2,rev_tech,0.25um and above,3
TSMC,2018,3,rev_geo,NORAM,61
TSMC,2018,3,rev_geo,China,16
TSMC,2018,3,rev_geo,EMEA,7
TSMC,2018,3,rev_geo,ASIAPAC,10
TSMC,2018,3,rev_geo,Japan,6
TSMC,2018,3,rev_seg,Computer,13
TSMC,2018,3,rev_seg,Communication,56
TSMC,2018,3,rev_seg,Consumer,7
TSMC,2018,3,rev_seg,Industrial/Standard,24
TSMC,2018,3,rev_tech,7nm,11
TSMC,2018,3,rev_tech,10nm,6
TSMC,2018,3,rev_tech,16/20nm,25
TSMC,2018,3,rev_tech,28nm,19
TSMC,2018,3,rev_tech,40/45nm,12
TSMC,2018,3,rev_tech,65nm,8
TSMC,2018,3,rev_tech,90nm,4
TSMC,2018,3,rev_tech,0.11/0.13um,3
TSMC,2018,3,rev_tech,0.15/0.18um,9
TSMC,2018,3,rev_tech,0.25um and above,3
TSMC,2018,4,rev_geo,NORAM,69
TSMC,2018,4,rev_geo,China,13
TSMC,2018,4,rev_geo,EMEA,6
TSMC,2018,4,rev_geo,ASIAPAC,7
TSMC,2018,4,rev_geo,Japan,5
TSMC,2018,4,rev_seg,Computer,11
TSMC,2018,4,rev_seg,Communication,64
TSMC,2018,4,rev_seg,Consumer,5
TSMC,2018,4,rev_seg,Industrial/Standard,20
TSMC,2018,4,rev_tech,7nm,23
TSMC,2018,4,rev_tech,10nm,6
TSMC,2018,4,rev_tech,16/20nm,21
TSMC,2018,4,rev_tech,28nm,17
TSMC,2018,4,rev_tech,40/45nm,10
TSMC,2018,4,rev_tech,65nm,8
TSMC,2018,4,rev_tech,90nm,3
TSMC,2018,4,rev_tech,0.11/0.13um,2
TSMC,2018,4,rev_tech,0.15/0.18um,8
TSMC,2018,4,rev_tech,0.25um and above,2
TSMC,2019,1,rev_geo,NORAM,60
TSMC,2019,1,rev_geo,China,18
TSMC,2019,1,rev_geo,EMEA,7
TSMC,2019,1,rev_geo,ASIAPAC,9
TSMC,2019,1,rev_geo,Japan,6
TSMC,2019,1,rev_seg,Computer,10
TSMC,2019,1,rev_seg,Communication,62
TSMC,2019,1,rev_seg,Consumer,5
TSMC,2019,1,rev_seg,Industrial/Standard,23
TSMC,2019,1,rev_tech,7nm,22
TSMC,2019,1,rev_tech,10nm,4
TSMC,2019,1,rev_tech,16nm,16
TSMC,2019,1,rev_tech,20nm,1
TSMC,2019,1,rev_tech,28nm,20
TSMC,2019,1,rev_tech,40/45nm,12
TSMC,2019,1,rev_tech,65nm,8
TSMC,2019,1,rev_tech,90nm,3
TSMC,2019,1,rev_tech,0.11/0.13um,3
TSMC,2019,1,rev_tech,0.15/0.18um,8
TSMC,2019,1,rev_tech,0.25um and above,3
TSMC,2019,2,rev_geo,NORAM,61
TSMC,2019,2,rev_geo,China,17
TSMC,2019,2,rev_geo,EMEA,6
TSMC,2019,2,rev_geo,ASIAPAC,10
TSMC,2019,2,rev_geo,Japan,6
TSMC,2019,3,rev_geo,NORAM,60
TSMC,2019,3,rev_geo,China,20
TSMC,2019,3,rev_geo,EMEA,6
TSMC,2019,3,rev_geo,ASIAPAC,9
TSMC,2019,3,rev_geo,Japan,5
TSMC,2019,4,rev_geo,NORAM,59
TSMC,2019,4,rev_geo,China,22
TSMC,2019,4,rev_geo,EMEA,6
TSMC,2019,4,rev_geo,ASIAPAC,8
TSMC,2019,4,rev_geo,Japan,5
TSMC,2020,1,rev_geo,NORAM,56
TSMC,2020,1,rev_geo,China,22
TSMC,2020,1,rev_geo,EMEA,6
TSMC,2020,1,rev_geo,ASIAPAC,11
TSMC,2020,1,rev_geo,Japan,5
TSMC,2020,2,rev_geo,NORAM,58
TSMC,2020,2,rev_geo,China,21
TSMC,2020,2,rev_geo,EMEA,6
TSMC,2020,2,rev_geo,ASIAPAC,10
TSMC,2020,2,rev_geo,Japan,5
TSMC,2020,3,rev_geo,NORAM,59
TSMC,2020,3,rev_geo,China,22
TSMC,2020,3,rev_geo,EMEA,5
TSMC,2020,3,rev_geo,ASIAPAC,10
TSMC,2020,3,rev_geo,Japan,4
TSMC,2020,4,rev_geo,NORAM,73
TSMC,2020,4,rev_geo,China,6
TSMC,2020,4,rev_geo,EMEA,5
TSMC,2020,4,rev_geo,ASIAPAC,12
TSMC,2020,4,rev_geo,Japan,4
TSMC,2021,1,rev_geo,NORAM,67
TSMC,2021,1,rev_geo,China,6
TSMC,2021,1,rev_geo,EMEA,6
TSMC,2021,1,rev_geo,ASIAPAC,17
TSMC,2021,1,rev_geo,Japan,4
TSMC,2021,2,rev_geo,NORAM,64
TSMC,2021,2,rev_geo,China,11
TSMC,2021,2,rev_geo,EMEA,6
TSMC,2021,2,rev_geo,ASIAPAC,15
TSMC,2021,2,rev_geo,Japan,4
TSMC,2021,3,rev_geo,NORAM,65
TSMC,2021,3,rev_geo,China,11
TSMC,2021,3,rev_geo,EMEA,6
TSMC,2021,3,rev_geo,ASIAPAC,13
TSMC,2021,3,rev_geo,Japan,5
TSMC,2021,4,rev_geo,NORAM,66
TSMC,2021,4,rev_geo,China,12
TSMC,2021,4,rev_geo,EMEA,5
TSMC,2021,4,rev_geo,ASIAPAC,12
TSMC,2021,4,rev_geo,Japan,5
SMIC,2020,3,rev_geo,NORAM,18.6
SMIC,2020,3,rev_geo,CHINAHK,69.7
SMIC,2020,3,rev_geo,EURASIA,11.7
SMIC,2020,3,rev_seg,Smart Phone,46.1
SMIC,2020,3,rev_seg,Smart Home,20.5
SMIC,2020,3,rev_seg,Consumer Electronics,17
SMIC,2020,3,rev_seg,Others,16.4
SMIC,2020,3,rev_tech,14/28 nm,14.6
SMIC,2020,3,rev_tech,40/45 nm,17.2
SMIC,2020,3,rev_tech,55/65 nm,25.8
SMIC,2020,3,rev_tech,90 nm,3.4
SMIC,2020,3,rev_tech,0.11/0.13 μm,4.4
SMIC,2020,3,rev_tech,0.15/0.18 μm,31.2
SMIC,2020,3,rev_tech,0.25/0.35 μm,3.4
SMIC,2020,4,rev_geo,NORAM,27.7
SMIC,2020,4,rev_geo,CHINAHK,56.1
SMIC,2020,4,rev_geo,EURASIA,16.2
SMIC,2020,4,rev_seg,Smart Phone,36.7
SMIC,2020,4,rev_seg,Smart Home,15.8
SMIC,2020,4,rev_seg,Consumer Electronics,20.2
SMIC,2020,4,rev_seg,Others,27.3
SMIC,2020,4,rev_tech,14/28 nm,5
SMIC,2020,4,rev_tech,40/45 nm,14.8
SMIC,2020,4,rev_tech,55/65 nm,34
SMIC,2020,4,rev_tech,90 nm,3.5
SMIC,2020,4,rev_tech,0.11/0.13 μm,6.2
SMIC,2020,4,rev_tech,0.15/0.18 μm,32.5
SMIC,2020,4,rev_tech,0.25/0.35 μm,4
SMIC,2021,1,rev_geo,NORAM,27.7
SMIC,2021,1,rev_geo,CHINAHK,55.6
SMIC,2021,1,rev_geo,EURASIA,16.7
SMIC,2021,1,rev_seg,Smart Phone,35.2
SMIC,2021,1,rev_seg,Smart Home,13.9
SMIC,2021,1,rev_seg,Consumer Electronics,20.4
SMIC,2021,1,rev_seg,Others,30.5
SMIC,2021,1,rev_tech,14/28 nm,6.9
SMIC,2021,1,rev_tech,40/45 nm,16.3
SMIC,2021,1,rev_tech,55/65 nm,32.8
SMIC,2021,1,rev_tech,90 nm,4.1
SMIC,2021,1,rev_tech,0.11/0.13 μm,6
SMIC,2021,1,rev_tech,0.15/0.18 μm,30.3
SMIC,2021,1,rev_tech,0.25/0.35 μm,3.6
SMIC,2021,2,rev_geo,NORAM,23.3
SMIC,2021,2,rev_geo,CHINAHK,62.9
SMIC,2021,2,rev_geo,EURASIA,13.8
SMIC,2021,2,rev_seg,Smart Phone,31.6
SMIC,2021,2,rev_seg,Smart Home,12.4
SMIC,2021,2,rev_seg,Consumer Electronics,25.1
SMIC,2021,2,rev_seg,Others,30.9
SMIC,2021,2,rev_tech,FinFET/28 nm,14.5
SMIC,2021,2,rev_tech,40/45 nm,14.9
SMIC,2021,2,rev_tech,55/65 nm,29.9
SMIC,2021,2,rev_tech,90 nm,3.2
SMIC,2021,2,rev_tech,0.11/0.13 μm,5.9
SMIC,2021,2,rev_tech,0.15/0.18 μm,28.4
SMIC,2021,2,rev_tech,0.25/0.35 μm,3.2
SMIC,2021,3,rev_geo,CHINAHK,66.7
SMIC,2021,3,rev_geo,NORAM,20.3
SMIC,2021,3,rev_geo,EURASIA,13
SMIC,2021,3,rev_seg,Smart Phone,31.5
SMIC,2021,3,rev_seg,Smart Home,12.5
SMIC,2021,3,rev_seg,Consumer Electronics,24.1
SMIC,2021,3,rev_seg,Others,31.9
SMIC,2021,3,rev_tech,FinFET/28 nm,18.2
SMIC,2021,3,rev_tech,40/45 nm,13.9
SMIC,2021,3,rev_tech,55/65 nm,28.5
SMIC,2021,3,rev_tech,90 nm,3.1
SMIC,2021,3,rev_tech,0.11/0.13 μm,5.4
SMIC,2021,3,rev_tech,0.15/0.18 μm,27.9
SMIC,2021,3,rev_tech,0.25/0.35 μm,3
SMIC,2021,4,rev_geo,CHINAHK,68.3
SMIC,2021,4,rev_geo,NORAM,19.6
SMIC,2021,4,rev_geo,EURASIA,12.1
SMIC,2021,4,rev_seg,Smart Phone,31.2
SMIC,2021,4,rev_seg,Smart Home,12.7
SMIC,2021,4,rev_seg,Consumer Electronics,23.7
SMIC,2021,4,rev_seg,Others,32.4
SMIC,2021,4,rev_tech,FinFET/28 nm,18.6
SMIC,2021,4,rev_tech,40/45 nm,15.3
SMIC,2021,4,rev_tech,55/65 nm,26.8
SMIC,2021,4,rev_tech,90 nm,2.5
SMIC,2021,4,rev_tech,0.11/0.13 μm,5.3
SMIC,2021,4,rev_tech,0.15/0.18 μm,28.6
SMIC,2021,4,rev_tech,0.25/0.35 μm,2.9
UMC,2004,1,rev,,767
UMC,2004,1,rev_geo,NORAM,39
UMC,2004,1,rev_geo,ASIAPAC,40
UMC,2004,1,rev_geo,Europe,18
UMC,2004,1,rev_geo,Japan,3
UMC,2004,1,rev_tech,0.13um,7
UMC,2004,1,rev_tech,0.15um,3
UMC,2004,1,rev_tech,0.15um<x<=0.18um,28
UMC,2004,1,rev_tech,0.18um<x<=0.25um,25
UMC,2004,1,rev_tech,0.25um<x<=0.35um,25
UMC,2004,1,rev_tech,0.5um and above,12
UMC,2005,1,rev_geo,NORAM,49
UMC,2005,1,rev_geo,ASIAPAC,38
UMC,2005,1,rev_geo,Europe,11
UMC,2005,1,rev_geo,Japan,2
UMC,2005,1,rev_tech,0.15um<x<=0.18um,20
UMC,2005,1,rev_tech,0.18um<x<=0.25um,10
UMC,2005,1,rev_tech,0.25um<x<=0.35um,20
UMC,2005,1,rev_tech,0.5um and above,11
UMC,2006,1,rev_geo,NORAM,46
UMC,2006,1,rev_geo,ASIAPAC,43
UMC,2006,1,rev_geo,Europe,9
UMC,2006,1,rev_geo,Japan,2
UMC,2006,1,rev_tech,<=90nm,13
UMC,2006,1,rev_tech,0.13um,20
UMC,2006,1,rev_tech,0.15um,12
UMC,2006,1,rev_tech,0.15um<x<=0.18um,21
UMC,2006,1,rev_tech,0.18um<x<=0.25um,5
UMC,2006,1,rev_tech,0.25um<x<=0.35um,21
UMC,2006,1,rev_tech,0.5um and above,8
UMC,2007,1,rev_geo,NORAM,47
UMC,2007,1,rev_geo,ASIAPAC,43
UMC,2007,1,rev_geo,Europe,7
UMC,2007,1,rev_geo,Japan,3
UMC,2007,1,rev_tech,65nm,0
UMC,2007,1,rev_tech,90nm,21
UMC,2007,1,rev_tech,90nm<x<=0.13um,16
UMC,2007,1,rev_tech,0.13um<x<=0.18um,30
UMC,2007,1,rev_tech,0.18um<x<=0.35um,25
UMC,2007,1,rev_tech,0.5um and above,8
UMC,2008,1,rev_geo,NORAM,58
UMC,2008,1,rev_geo,ASIAPAC,29
UMC,2008,1,rev_geo,Europe,11
UMC,2008,1,rev_geo,Japan,2
UMC,2008,1,rev_tech,65nm,7
UMC,2008,1,rev_tech,90nm,30
UMC,2008,1,rev_tech,90nm<x<=0.13um,21
UMC,2008,1,rev_tech,0.13um<x<=0.18um,22
UMC,2008,1,rev_tech,0.18um<x<=0.35um,14
UMC,2008,1,rev_tech,0.5um and above,6
UMC,2009,1,rev_geo,NORAM,53
UMC,2009,1,rev_geo,ASIAPAC,37
UMC,2009,1,rev_geo,Europe,9
UMC,2009,1,rev_geo,Japan,1
UMC,2009,1,rev_tech,65nm,11
UMC,2009,1,rev_tech,90nm,27
UMC,2009,1,rev_tech,90nm<x<=0.13um,16
UMC,2009,1,rev_tech,0.13um<x<=0.18um,22
UMC,2009,1,rev_tech,0.18um<x<=0.35um,18
UMC,2009,1,rev_tech,0.5um and above,6
UMC,2010,1,rev_geo,NORAM,47
UMC,2010,1,rev_geo,ASIAPAC,42
UMC,2010,1,rev_geo,Europe,10
UMC,2010,1,rev_geo,Japan,1
UMC,2010,1,rev_tech,65nm and below,18
UMC,2010,1,rev_tech,65nm<x<=90nm,22
UMC,2010,1,rev_tech,90nm<x<=0.13um,25
UMC,2010,1,rev_tech,0.13um<x<=0.18um,18
UMC,2010,1,rev_tech,0.18um<x<=0.35um,11
UMC,2010,1,rev_tech,0.5um and above,6
UMC,2011,1,rev_geo,NORAM,51
UMC,2011,1,rev_geo,ASIAPAC,35
UMC,2011,1,rev_geo,Europe,13
UMC,2011,1,rev_geo,Japan,1
UMC,2011,1,rev_tech,40nm and below,6
UMC,2011,1,rev_tech,40nm<x<=65nm,29
UMC,2011,1,rev_tech,65nm<x<=90nm,15
UMC,2011,1,rev_tech,90nm<x<=0.13um,23
UMC,2011,1,rev_tech,0.13um<x<=0.18um,13
UMC,2011,1,rev_tech,0.18um<x<=0.35um,9
UMC,2011,1,rev_tech,0.5um and above,5
UMC,2012,1,rev_geo,NORAM,45
UMC,2012,1,rev_geo,ASIAPAC,46
UMC,2012,1,rev_geo,Europe,8
UMC,2012,1,rev_geo,Japan,1
UMC,2012,1,rev_tech,40nm and below,9
UMC,2012,1,rev_tech,40nm<x<=65nm,40
UMC,2012,1,rev_tech,65nm<x<=90nm,6
UMC,2012,1,rev_tech,90nm<x<=0.13um,20
UMC,2012,1,rev_tech,0.13um<x<=0.18um,10
UMC,2012,1,rev_tech,0.18um<x<=0.35um,11
UMC,2012,1,rev_tech,0.5um and above,4
UMC,2013,1,rev_geo,NORAM,44
UMC,2013,1,rev_geo,ASIAPAC,46
UMC,2013,1,rev_geo,Europe,9
UMC,2013,1,rev_geo,Japan,1
UMC,2013,1,rev_tech,40nm and below,18
UMC,2013,1,rev_tech,40nm<x<=65nm,32
UMC,2013,1,rev_tech,65nm<x<=90nm,6
UMC,2013,1,rev_tech,90nm<x<=0.13um,14
UMC,2013,1,rev_tech,0.13um<x<=0.18um,15
UMC,2013,1,rev_tech,0.18um<x<=0.35um,11
UMC,2013,1,rev_tech,0.5um and above,4
UMC,2014,1,rev_geo,NORAM,45
UMC,2014,1,rev_geo,ASIAPAC,45
UMC,2014,1,rev_geo,Europe,7
UMC,2014,1,rev_geo,Japan,3
UMC,2014,1,rev_tech,40nm and below,20
UMC,2014,1,rev_tech,40nm<x<=65nm,31
UMC,2014,1,rev_tech,65nm<x<=90nm,7
UMC,2014,1,rev_tech,90nm<x<=0.13um,14
UMC,2014,1,rev_tech,0.13um<x<=0.18um,12
UMC,2014,1,rev_tech,0.18um<x<=0.35um,12
UMC,2014,1,rev_tech,0.5um and above,4
UMC,2015,1,rev_geo,NORAM,47
UMC,2015,1,rev_geo,ASIAPAC,40
UMC,2015,1,rev_geo,Europe,7
UMC,2015,1,rev_geo,Japan,6
UMC,2015,1,rev_tech,28nm and below,9
UMC,2015,1,rev_tech,28nm<x<=40nm,24
UMC,2015,1,rev_tech,40nm<x<=65nm,23
UMC,2015,1,rev_tech,65nm<x<=90nm,5
UMC,2015,1,rev_tech,90nm<x<=0.13um,13
UMC,2015,1,rev_tech,0.13um<x<=0.18um,12
UMC,2015,1,rev_tech,0.18um<x<=0.35um,11
UMC,2015,1,rev_tech,0.5um and above,3
UMC,2016,1,rev_geo,NORAM,48
UMC,2016,1,rev_geo,ASIAPAC,45
UMC,2016,1,rev_geo,Europe,3
UMC,2016,1,rev_geo,Japan,4
UMC,2016,1,rev_tech,28nm and below,8
UMC,2016,1,rev_tech,28nm<x<=40nm,29
UMC,2016,1,rev_tech,40nm<x<=65nm,19
UMC,2016,1,rev_tech,65nm<x<=90nm,4
UMC,2016,1,rev_tech,90nm<x<=0.13um,12
UMC,2016,1,rev_tech,0.13um<x<=0.18um,13
UMC,2016,1,rev_tech,0.18um<x<=0.35um,12
UMC,2016,1,rev_tech,0.5um and above,3
UMC,2017,1,rev_geo,NORAM,41
UMC,2017,1,rev_geo,ASIAPAC,50
UMC,2017,1,rev_geo,Europe,5
UMC,2017,1,rev_geo,Japan,4
UMC,2017,1,rev_tech,28nm and below,17
UMC,2017,1,rev_tech,28nm<x<=40nm,29
UMC,2017,1,rev_tech,40nm<x<=65nm,13
UMC,2017,1,rev_tech,65nm<x<=90nm,4
UMC,2017,1,rev_tech,90nm<x<=0.13um,11
UMC,2017,1,rev_tech,0.13um<x<=0.18um,13
UMC,2017,1,rev_tech,0.18um<x<=0.35um,10
UMC,2017,1,rev_tech,0.5um and above,3
UMC,2018,1,rev_geo,NORAM,42
UMC,2018,1,rev_geo,ASIAPAC,47
UMC,2018,1,rev_geo,Europe,8
UMC,2018,1,rev_geo,Japan,3
UMC,2018,1,rev_tech,14nm and below,2
UMC,2018,1,rev_tech,14nm<x<=28nm,12
UMC,2018,1,rev_tech,28nm<x<=40nm,30
UMC,2018,1,rev_tech,40nm<x<=65nm,13
UMC,2018,1,rev_tech,65nm<x<=90nm,6
UMC,2018,1,rev_tech,90nm<x<=0.13um,11
UMC,2018,1,rev_tech,0.13um<x<=0.18um,13
UMC,2018,1,rev_tech,0.18um<x<=0.35um,10
UMC,2018,1,rev_tech,0.5um and above,3
UMC,2019,1,rev_geo,NORAM,32
UMC,2019,1,rev_geo,ASIAPAC,57
UMC,2019,1,rev_geo,Europe,7
UMC,2019,1,rev_geo,Japan,4
UMC,2019,1,rev_tech,14nm and below,0
UMC,2019,1,rev_tech,14nm<x<=28nm,10
UMC,2019,1,rev_tech,28nm<x<=40nm,20
UMC,2019,1,rev_tech,40nm<x<=65nm,14
UMC,2019,1,rev_tech,65nm<x<=90nm,12
UMC,2019,1,rev_tech,90nm<x<=0.13um,15
UMC,2019,1,rev_tech,0.13um<x<=0.18um,15
